日期,场次编号,时间,联赛,主队,客队,主队emoji,客队emoji,预测,信心度,赔率,是否重心胆,比分,结果,复盘
2026-05-11,001,00:50,沙职,新未来SC,利雅得青年,🟢,⚪,让球负（利雅得+1不败）,⭐⭐⭐,@1.85,否,2-1,push,主队2-1赢球，让球走盘。赛前看低主队，结果主场拿下。
2026-05-11,002,01:00,瑞超,天狼星,厄格里特,🔵,⚫,让球平/让球负,⭐⭐⭐,@1.90,否,2-0,push,天狼星2-0完胜，让球平刚好走盘。客队未能守住指数。
2026-05-11,003,02:00,沙职,布赖代合作,吉达国民,🟡,🔴,负（吉达国民客胜）,⭐⭐⭐⭐,@1.75,是,1-2,win,吉达国民客场2-1取胜，重心胆命中！实力占优兑现。
2026-05-11,004,02:45,意甲,那不勒斯,博洛尼亚,🔵,🔴,胜（首选）/让球平,⭐⭐⭐⭐⭐,@1.65,是,2-3,loss,那不勒斯主场翻车！博洛尼亚客场3-2爆冷，重心胆黑掉。
2026-05-11,005,03:00,英超,热刺,利兹联,⚪,⚪,让球平/让球负,⭐⭐⭐,@1.80,否,1-1,push,利兹联1-1逼平热刺，受让+1走水。判断客队能抢分，方向对但走盘。
2026-05-11,006,03:00,英冠,米尔沃尔,赫尔城,🔵,🟠,让球胜/搏平,⭐⭐⭐,@1.90,否,0-2,loss,米尔沃尔0-2完败，推荐黑掉。主场优势未兑现，进攻端哑火。
2026-05-11,007,03:00,西甲,巴列卡诺,赫罗纳,⚪,🔴,平（首选）/让球胜,⭐⭐⭐,@2.10,否,1-1,win,1-1平局命中！双方实力接近，巴列卡诺主场守平。
2026-05-11,008,03:15,葡超,里奥阿维,葡萄牙体育,🔴,🟢,让球胜/搏平,⭐⭐⭐,@1.85,否,1-4,loss,里奥阿维1-4惨败，让球负黑掉。Sporting客场火力全开，实力碾压。
2026-05-12,011,01:00,西甲,塞尔塔,莱万特,🔵,🔵,BTTS Yes,⭐⭐⭐,@1.75,是,-,pending,重心胆：塞尔塔中卫Starfelt缺阵，防线重组；莱万特保级拼命必反击。
2026-05-12,012,02:00,西甲,贝蒂斯,埃尔切,🟢,⚪,BTTS Yes,⭐⭐,@1.65,是,-,pending,重心胆：贝蒂斯Bartra缺阵+Natan疑，中卫真空；埃尔切降级队有反击能力。
